en_term_processed;en_definition_processed;ru_term_processed;ru_definition_processed
nuclear magnetogyr ratio;ratio magnet moment angular momentum nucleu determin precess frequenc magnet field;ядерн магнитомеханическ коэффициент;отношен магнитн момент углов момент ядр определя частот прецесс магнитн пол
nuclear magneton;physic constant repres magnet moment nucleon proton neutron nucleu calcul μn eħ2mp e elementari charg ħ reduc planck constant mp proton mass;ядерн магнетон;физическ постоя представля магнитн момент нуклон протон нейтрон ядр вычисля μн еħ2мп e элементарн заряд приведен постоя планк mp масс протон
nuclear motion;movement atom nuclei molecul system includ vibrat rotat translat key factor determin molecular structur reactiv spectroscop properti;движен ядер;перемещен атомн ядер молекул систем включа колебан вращен поступательн движен важн определен структур реакцион способн спектроскопическ свойств молекул
nuclear overhaus;chang intens nmr signal caus perturb nearbi nucleu determin molecular structur dynam;ядерн оверхаузер;изменен интенсивн сигна ямр вызва возмущен друг близлежа ядр используем определен структур динамик молекул
nuclear spin;intrins angular momentum atom nucleu aris spin proton neutron give rise nuclear magnet moment;ядерн спин;собствен момент импульс атомн ядр обусловлен спин протон нейтрон привод возникновен ядерн магнитн момент
nuclear spin quantum number;quantum number describ intrins angular momentum atom nucleu denot determin magnet properti behavior nmr spectroscopi;квантов числ ядерн спин;квантов числ описыва собствен углов момент атомн ядр обознача i определя магнитн свойств поведен ямрспектроскоп
nuclear statist;branch quantum statist deal behavior nuclei molecul particularli spin state symmetri properti influenc molecular spectra reaction dynam;ядерн статистик;раздел квантов статистик изуча поведен ядер молекул спинов состоян свойств симметр влия молекулярн спектр динамик реакц
nucleat;form caus form nucleu initi phase transit crystal growth substanc;нуклеирова;образовыва вызыва образован ядр иницииру фазов переход рост кристалл веществ
nucleat;initi process phase transit small nuclei form act seed growth crucial crystal boil condens;нуклеац;начальн процесс фазов переход образ небольш зародыш служа центр дальн рост важн кристаллизац кипен конденсац
nucleat centr;site atom molecul new phase gather initi format crystal droplet;центр нуклеац;мест перв атом молекул нов фаз собира инициирован образован кристалл капл
nucleu magnet field;behavior atom nuclei subject extern magnet field crucial nmr spectroscopi analyz molecular structur;ядр магнитн пол;поведен атомн ядер воздейств внешн магнитн пол ключев ямрспектроскоп анализ молекулярн структур
number averag molecular weight;total weight polym molecul sampl divid total number molecul provid averag molecular weight sensit presenc low molecular weight speci;среднечислен молекулярн масс;общ масс молекул полимер образц делен общ количеств дает средн молекулярн масс чувствительн присутств низкомолекулярн компонент
number;count quantiti item particl entiti given system sampl;количеств;числ количеств предмет частиц сущност систем образц
numberaverag molar mass;total mass polym molecul divid total number molecul calcul mn σnimi σni ni number mole speci mi molar mass;числосредн молярн масс;общ масс молекул полимер делен общ числ молекул рассчитыва mn σним σни ni количеств мол вид i mi молярн масс
nvt ensembl;statist mechan ensembl number particl n volum v temperatur t held constant molecular dynam simul studi system control condit;нвтансамбл;статистическ ансамбл числ частиц n обь v температур t постоян использ молекулярн динамик изучен сист контролируем услов
o branch;rotat branch molecular spectroscopi transit involv decreas rotat quantum number δj 2;оветв;вращательн ветв молекулярн спектроскоп переход связа уменьшен вращательн квантов числ δj 2
observ;physic quantiti measur observ experi posit momentum energi repres oper quantum mechan;наблюда величин;физическ величин измер наблюда эксперимент положен импульс энерг представля оператор квантов механик
observ lifetim;averag time system remain particular state transit measur experiment;наблюда врем жизн;средн врем течен систем оста определен состоян переход измерен экспериментальн
octahedr group;symmetri group describ spatial arrang atom molecul octahedr geometri includ rotat reflect;октаэдрическ групп;групп симметр описыва пространствен расположен атом молекул октаэдрическ геометр вращен отражен
octahedron;polyhedron triangular face edg vertic found crystal structur molecular geometri;октаэдр;многогранник восем треугольн гран двенадцат ребр шест вершин встреча кристаллическ структур молекулярн геометр
octupol;multipol moment order 3 describ distribut electr charg magnet octupolar symmetri physic analyz complex field distribut;октупол;мультипольн момент трет порядк описыва распределен электрическ заряд намагничен октупольн симметр используем физик анализ сложн распределен пол
offdiagon onsag coeffici;quantiti nonequilibrium thermodynam describ coupl differ irrevers process heat mass transport onsag reciproc relat state matrix coeffici symmetr;недиагональн коэффициент онзагер;величин неравновесн термодинамик описыва связ различн необратим процесс перенос тепл масс согласн соотношен онзагер утвержда симметричн матриц коэффициент
ohmic potenti differ;voltag drop caus resist electrolyt conductor current flow follow ohm law v ir;омическ разност потенциал;паден напряжен вызва сопротивлен электролит проводник протекан ток согласн закон ом v ir
ohm law;fundament principl electr engin state current conductor point directli proport voltag point invers proport resist express vr;закон ом;основн принцип электротехник утвержда сил ток проводник прям пропорциональн напряжен обратн пропорциональн сопротивлен выража формул i vr
ohp;outer helmholtz plane plane closest approach solvat ion charg electrod surfac electrochemistri;внешн плоскост гельмгольц;плоскост ближайш подход сольватирова ион заряжен поверхн электрод электрохим
onedimension box;theoret model quantum mechan particl confin singl straight line impenetr wall illustr quantiz energi level wavefunct;одномерн ям;теоретическ модел квантов механик частиц огранич движен вдол прям двум непроница стенк иллюстрирующ квантован уровн энерг волнов функц
onedimension random walk;stochast process particl move step straight line take step fix length random direct left right model diffus process;одномерн случайн блуждан;стохастическ процесс частиц перемеща шаг прям лин дел шаг фиксирова длин случайн направлен влев вправ использ моделирован процесс диффуз
onsag reciproc relat;set equat nonequilibrium thermodynam state matrix phenomenolog coeffici describ coupl transport process symmetr ensur microscop revers deriv principl detail balanc;соотношен взаимност онзагер;уравнен неравновесн термодинамик утвержда симметричн матриц феноменологическ коэффициент описыва связа транспортн процесс обеспечива микроскопическ обратим принцип детальн равновес
onsag regress hypothesi;principl state regress microscop thermal fluctuat system follow law macroscop irrevers process;гипотез регресс онзагер;принцип утвержда регресс микроскопическ теплов флуктуац систем подчиня закон макроскопическ необратим процесс
onsag limit law;theoret equat describ concentr depend electr conduct dilut electrolyt solut deriv lar onsag 1926;предельн закон онзагер;теоретическ уравнен описыва зависим электрическ проводим разбавлен раствор электролит концентрац выведен ларс онзагер 1926 год
open system;physic system exchang matter energi surround allow mass energi transfer boundari;открыт систем;физическ систем обменива веществ энерг окружа сред допуск переход масс энерг границ
oper;mathemat symbol function repres transform oper appli function vector quantum mechan;оператор;математическ символ функц представля преобразован операц применя функц вектор использ квантов механик
oper;mathemat symbol function repres oper addit subtract multipl complex transform quantum mechan manipul function vector given space;оператор;математическ символ функц представля операц сложен умножен сложн преобразован квантов механик используем манипуляц функц вектор зада пространств
optic glori;circular rainbowlik optic phenomenon caus backscatt light water droplet small particl observ shadow observ;оптическ гал;кругов радужн оптическ явлен вызва обратн рассеян свет капл вод мелк частиц наблюда тен наблюдател
optic materi;substanc engin interact light specif way transmit reflect refract absorb applic like lens mirror optic fiber properti tailor perform wavelength rang;оптическ материал;материал разработа взаимодейств свет определен образ пропускан отражен преломлен поглощен используем линз зеркал оптическ волокн свойств оптимизирова работ разн диапазон длин волн
optic properti;characterist materi describ interact light includ absorpt reflect refract transmiss;оптическ свойств;характеристик материал описыва взаимодейств свет поглощен отражен преломлен пропускан
orbit;mathemat function describ wavelik behavior electron atom determin probabl find electron particular region nucleu;орбитал;математическ функц описыва волнообразн поведен электрон атом используем определен вероятн нахожден электрон определен област ядр
orbit angular momentum;quantum mechan properti particl electron associ motion nucleu describ quantum number l vector quantiti repres rotat analog linear momentum play key role atom molecular structur;орбитальн момент импульс;квантовомеханическ свойств частиц электрон связа движен ядр описыва квантов числ l векторн величин представля вращательн аналог линейн импульс игра ключев рол структур атом молекул
orbit approxim;approach quantum mechan electron wavefunct multielectron system approxim product individu electron orbit neglect electronelectron interact;орбитальн приближен;подход квантов механик волнов функц многоэлектрон систем аппроксимир произведен отдельн электрон орбитал пренебрег взаимодейств электрон
orbit hybrid;concept chemistri atom orbit mix form new hybrid orbit suitabl pair electron coval bond explain molecular geometri bond properti compound;гибридизац орбитал;концепц хим атомн орбита смешива образу нов гибридн орбита подходя образован ковалентн связ объясн геометр молекул свойств связ соединен
orbit notat;symbol represent electron atom orbit indic energi level spin state;орбитальн нотац;символическ представлен электрон атомн орбитал указыва энергетическ уровн спинов состоян
orbit overlap;interact atom orbit adjac atom lead format chemic bond particularli coval bond share electron densiti overlap orbit;перекрыван орбитал;взаимодейств атомн орбитал соседн атом приводя образован химическ связ ковалентн счет обобществлен электрон плотност перекрыва орбитал
orbit paramagnet;type paramagnet aris orbit motion electron atom molecul contribut overal magnet moment;орбитальн парамагнетизм;вид парамагнетизм обусловлен орбитальн движен электрон атом молекул внося вклад общ магнитн момент
orbit;mathemat function describ wavelik behavior electron atom determin probabl find electron particular region nucleu orbit character quantum number form basi electron configur atom molecul;орбита;математическ функц описыва волнообразн поведен электрон атом используем определен вероятн нахожден электрон определен област ядр орбита характериз квантов числ лежат основ электрон конфигурац атом молекул
order reaction;sum expon concentr term rate equat indic rate depend concentr reactant determin experiment zero second fraction;порядок реакц;сумм показател степен концентрац кинетическ уравнен показыва зависим скорост реакц концентрац реагент определя экспериментальн нулев перв втор дробн
orient polar;polar result align perman dipol materi extern electr field contribut dielectr properti;ориентацион поляризац;поляризац возника изз ориентац постоя дипол материал действ внешн электрическ пол влия диэлектрическ свойств
orient quantiz;quantiz spatial orient angular momentum vector quantum system constrain discret direct rel extern field;квантован ориентац;квантован пространствен ориентац вектор углов момент квантов систем ограничен дискретн направлен относительн внешн пол
ortho para;form molecular hydrogen h2 differ nuclear spin align ortho parallel spin para antiparallel spin affect physic properti like thermal conduct;орт пар;две форм молекулярн водород h2 различа ориентац спин ядер орт параллельн спин пар антипараллельн спин влия физическ свойств теплопроводн
orthogon;properti vector function perpendicular statist independ linear algebra quantum mechan;ортогональн;свойств вектор функц перпендикулярн статистическ независим использ линейн алгебр квантов механик
orthohydrogen;form molecular hydrogen nuclear spin hydrogen atom parallel result higher energi state compar parahydrogen;ортоводород;форм молекулярн водород ядерн спин двух атом водород параллельн привод высок энергетическ состоян сравнен параводород
orthonorm function;set function orthogon normal mean inner product zero differ function function quantum mechan signal process;ортонормирова функц;набор функц одновремен ортогональн нормирова скалярн произведен равн нул разн функц единиц одинаков использ квантов механик обработк сигнал
orthonorm;properti vector inner product space orthogon perpendicular normal unit length;ортонормирован;свойств вектор пространств скалярн произведен ортогональн перпендикулярн нормирова имеют единичн длин
orthorhomb system;crystal system character mutual perpendicular axe unequ length angl 90 °;ромбическ систем;кристаллическ систем характеризующ трем перпендикулярн ос разн длин угл равн 90 °
oscil;system devic exhibit period motion gener measur oscil physic chemic system;осциллятор;систем устройств демонстрир периодическ движен используем генерац измерен колебан физическ химическ систем
osmometri;techniqu measur osmot pressur solut determin molecular weight solut biochemistri polym scienc;осмометр;метод измерен осмотическ давлен раствор определен молекулярн масс растворен веществ применя биохим наук полимер
osmosi;spontan movement solvent molecul semiperm membran region lower solut concentr higher solut concentr aim equal concentr side;осмос;самопроизвольн движен молекул растворител полупроница мембран област меньш концентрац растворен веществ област больш концентрац направлен выравниван концентрац об сторон
osmot;relat osmosi movement solvent molecul semiperm membran concentr concentr solut;осмотическ;относя осмос движен молекул растворител полупроница мембран концентрирова раствор концентрирова
osmot coeffici;dimensionless factor correct ideal osmot pressur nonid behavior solut account solutesolut solutesolv interact;осмотическ коэффициент;безразмерн коэффициент корректир идеальн осмотическ давлен учет неидеальн поведен раствор учитыва взаимодейств частиц растворен веществ растворител
osmot pressur;pressur requir prevent flow solvent semiperm membran separ solut differ concentr driven osmosi collig properti depend number solut particl determin molecular weight studi solut;осмотическ давлен;давлен необходим предотвращен проникновен растворител полупроница мембран разделя раствор разн концентрац коллигативн свойств завися числ частиц растворен веществ использ определен молекулярн масс
osmot virial;coeffici virial expans osmot pressur describ deviat ideal solut behavior solutesolut interact;осмотическ вириальн коэффициент;коэффициент вириальн разложен осмотическ давлен описыва отклонен идеальн поведен раствор изз взаимодейств частиц растворен веществ
osmot virial expans;seri expans osmot pressur power solut concentr describ nonid behavior solut;осмотическ вириальн разложен;разложен осмотическ давлен степен ряд концентрац растворен веществ используем описан неидеальн поведен раствор
ostwaldfreundlich equat;equat describ solubl small particl show solubl increas decreas particl size higher surfac energi;уравнен оствальдафрейндлих;уравнен описыва растворим мелк частиц показыва растворим увеличива уменьшен размер частиц изз высок поверхностн энерг
otto cycl;thermodynam cycl describ function typic spark ignit piston engin consist adiabat compress constantvolum heat addit adiabat expans constantvolum heat reject;цикл отт;термодинамическ цикл описыва работ типичн двигател внутрен сгоран искров зажиган включа адиабатическ сжат изохорн подвод тепл адиабатическ расширен изохорн отвод тепл
overal order;sum expon concentr term rate equat chemic reaction indic reaction depend reactant concentr;общ порядок реакц;сумм показател степен концентрац кинетическ уравнен реакц показыва зависим скорост реакц концентрац реагент
overbeek jtg;jan theodoor gerard overbeek 19111992 dutch physic chemist known contribut colloid scienc particularli dlvo theori colloid stabil;овербек йтг;ян теодор герард овербек 19111992 нидерландск физикохимик сдела вклад наук коллоид теор устойчив коллоид длфо
overlap integr;quantum mechan measur spatial overlap wavefunct molecular orbit theori describ bond interact;интегра перекрыван;квантовомеханическ мер пространствен перекрыт двух волнов функц используем теор молекулярн орбитал описан связыва взаимодейств
overlap matrix;squar matrix quantum chemistri repres overlap atom orbit crucial molecular orbit calcul;матриц перекрыван;квадратн матриц квантов хим представля перекрыт атомн орбитал важн расчет молекулярн орбитал
overpotenti;excess voltag requir drive electrochem reaction equilibrium potenti kinet limit electrod;перенапряжен;избыточн напряжен необходим протекан электрохимическ реакц равновесн потенциа обусловлен кинетическ ограничен электрод
overton;higherfrequ vibrat molecul system occur integ multipl fundament frequenc observ vibrat spectroscopi;обертон;колебан высок частот молекул систем возника цел кратн частот основн тон наблюда колебательн спектроскоп
oxid;substanc abil oxid substanc accept electron chemic reaction;окислител;веществ способн окисля веществ приним электрон химическ реакц
oxid;chemic reaction substanc lose electron involv addit oxygen remov hydrogen lead increas oxid state key process redox reaction energi product biolog system;окислен;химическ реакц веществ теря электрон присоединен кислород удален водород привод увеличен степен окислен важн процесс окислительновосстановительн реакц выработк энерг биологическ систем
oxidationreduct reaction;chemic reaction electron transfer speci involv oxid loss electron reduct gain electron reaction fundament energi product corros metabol;окислительновосстановительн реакц;химическ реакц происход перенос электрон частиц окислен потер электрон восстановлен приобретен электрон игра ключев рол производств энерг корроз метаболизм
oxygen molecul;diatom molecul o₂ consist oxygen atom bond essenti respir combust process;молекул кислород;двухатомн молекул о₂ состоя двух атом кислород связа вмест необходим процесс дыхан горен
ozon;triatom molecul o pungent smell form oxygen o₂ electr discharg ultraviolet light found earth atmospher absorb uv radiat;озон;трехатомн молекул o резк запах образующ кислород о₂ действ электрическ разряд ультрафиолетов свет присутствующ атмосфер земл поглоща уфизлучен
ozon deplet;gradual thin earth ozon layer caus releas chemic compound contain chlorin bromin chlorofluorocarbon cfc lead increas uv radiat reach surfac;разрушен озонов сло;постепен истончен озонов сло земл вызва выброс химическ соединен содержа хлор бром хлорфторуглерод хфу привод увеличен уфизлучен достига поверхн
p pressur;forc appli perpendicular surfac object unit area forc distribut measur pascal pa si system fundament thermodynam variabl influenc phase transit chemic equilibria;p давлен;сил приложен перпендикулярн поверхн объект единиц площад измеря паскал па систем си ключев термодинамическ перемен влия фазов переход химическ равновес
p band;molecular orbit form sidebysid overlap p atom orbit involv π bond conjug system;порбитал;молекулярн орбитал образова боков перекрыван патомн орбитал участвующ πсвяз сопряжен систем
pack fraction;ratio volum occupi atom molecul unit cell total volum unit cell indic effici atom molecular pack crystal lattic;коэффициент упаковк;отношен объем занима атом молекул элементарн ячейк общ обь ячейк показыва эффективн упаковк атом молекул кристаллическ решетк
parabol potenti energi;type potenti energi describ quadrat function ux ½kx² k constant x displac equilibrium commonli harmon oscil model;параболическ потенциальн энерг;тип потенциальн энерг описыва квадратичн функц ux ½kx² k констант x смещен положен равновес используем модел гармоническ осциллятор
parahydrogen;form molecular hydrogen nuclear spin proton antiparallel result lower energi state compar orthohydrogen;параводород;форм молекулярн водород ядерн спин двух протон антипараллельн привод низк энергетическ состоян сравнен ортоводород
parallel spin;electron spin align direct lead higher energi state specif magnet properti atom molecul;параллельн спин;спин электрон сонаправлен друг друг привод высок энергетическ состоян особ магнитн свойств атом молекул
paramagnet;properti materi weakli attract extern magnet field unpair electron retain magnet field remov;парамагнитн;свойств материал слаб притягива внешн магнитн пол изз неспарен электрон сохраня намагничен удален
paramagnet contribut;materi magnet suscept aris unpair electron align extern magnet field enhanc magnet;парамагнитн вклад;част магнитн восприимчив материа обусловлен неспарен электрон ориентир вдол внешн магнитн пол усилив намагничен
paramagnet;form magnet materi weakli attract extern magnet field unpair electron lose magnet field remov;парамагнетизм;форм магнетизм материал слаб притягива внешн магнитн пол изз неспарен электрон теря намагничен отсутств
paramet;numer measur factor form set defin system set condit oper equat repres constant variabl influenc outcom;параметр;числов ин измерим фактор входя набор определя сист зада услов работ используем уравнен представлен констант перемен влия результат
pariti;properti wave function quantum mechan describ behavior spatial invers symmetr pariti antisymmetr odd pariti;четност;свойств волнов функц квантов механик описыва поведен пространствен инверс симметричн четн четност антисимметричн нечетн четност
partial charg;fraction charg assign atom molecul indic electron distribut differ electroneg bond;частичн заряд;дробн заряд присваива ат молекул отража различ распределен электрон изз электроотрицательн химическ связ
partial deriv;deriv function multipl variabl respect variabl hold constant;частн производн;производн функц нескольк перемен услов остальн перемен фиксирова
partial fraction;method algebra decompos ration function simpler fraction integr solv equat;разложен прост дроб;метод алгебр разложен рациональн функц прост дроб используем интегрирован решен уравнен
partial molar enthalpi;enthalpi chang system mole compon ad infinit larg mixtur keep temperatur pressur compon amount constant;парциальн молярн энтальп;изменен энтальп систем добавлен мол компонент бесконечн больш количеств смес постоя температур давлен количеств остальн компонент
partial molar entropi;entropi chang mole compon ad mixtur constant temperatur pressur keep amount compon constant reflect entropi system chang addit small compon;парциальн молярн энтроп;изменен энтроп мол компонент добавлен сме постоя температур давлен неизмен количеств компонент показыва изменя энтроп систем добавлен мал количеств компонент
partial molar gibb energi;chang gibb free energi system infinitesim compon ad constant temperatur pressur compon;парциальн молярн энерг гиббс;изменен свободн энерг гиббс систем добавлен бесконечн мал количеств компонент постоя температур давлен компонент
partial molar volum;chang total volum mixtur mole compon ad constant temperatur pressur keep amount compon constant reflect compon contribut overal volum solut;парциальн молярн обь;изменен общ объем смес добавлен мол компонент постоя температур давлен неизмен количеств компонент отража вклад кажд компонент общ обь раствор
partial vapor pressur;pressur exert singl compon gaseou mixtur occupi entir volum key concept thermodynam raoult dalton law describ vaporliquid equilibria;парциальн давлен пар;давлен создава компонент газов смес занима обь важн термодинамик использ закон раул дальтон описан равновес жидкостьпар
partial miscibl liquid;liquid mix certain proport form separ phase limit solubl specif condit;частичн смешива жидкост;жидкост смешива определен пропорц образ отдельн фаз изз ограничен растворим определен услов
partial rigid;term describ system molecul possess rigid flexibl region allow limit motion certain part retain overal structur integr;частичн жестк;термин описыва сист молекул облада жестк гибк област допуск ограничен движен определен част сохранен общ структурн целостн
partial rigid coil;polym chain intermedi flexibl exhibit rigid flexibl segment influenc conform dynam;частичн жестк спирал;полимерн цеп промежуточн гибкост демонстрирующ жестк гибк сегмент влия конформац динамик
particl confin;restrict particl defin spatial region physic electromagnet barrier employ plasma physic nanotechnolog control particl behavior interact;удержан частиц;ограничен частиц определен пространствен област помощ физическ электромагнитн барьер используем физик плазм нанотехнолог управлен поведен взаимодейств частиц
particl box;quantum mechan model describ particl confin finit potenti infinit high wall illustr quantiz energi level wavefunct behavior bound system;частиц ящик;квантовомеханическ модел описыва частиц ограничен движен внутр потенциальн ям бесконечн высок стенк демонстрирующ квантован уровн энерг поведен волнов функц связа систем
particl box model;quantum mechan model describ particl confin onedimension potenti infinit high wall illustr quantiz energi level waveparticl dualiti;модел частиц ящик;квантовомеханическ модел описыва частиц ограничен одномерн потенциальн ям бесконечн высок стенк демонстрирующ квантован уровн энерг корпускулярноволнов дуализм
particl finit;quantum mechan model particl confin potenti finit depth lead quantiz energi level tunnel effect;частиц конечн потенциальн ям;квантовомеханическ модел частиц огранич потенциальн ям конечн глубин привод квантова уровн энерг туннельн эффект
particl ring;quantum mechan model describ particl constrain circular path illustr quantiz angular momentum energi level;частиц кольц;квантовомеханическ модел описыва частиц ограничен движен кругов траектор демонстрирующ квантован углов момент энергетическ уровн
partit function;statist mechan concept sum possibl state system weight boltzmann factor calcul thermodynam properti;статистическ сумм;концепц статистическ механик суммирующ возможн состоян систем взвешен больцмановск фактор расчет термодинамическ свойств
partit function densiti;partit function unit volum statist mechan describ distribut state system thermal equilibrium;плотност статистическ сумм;статистическ сумм единиц объем используем статистическ механик описан распределен состоян систем теплов равновес
pascal;si deriv unit pressur defin newton squar meter quantifi intern pressur stress young modulu tensil strength materi scienc engin;паскал;производн единиц давлен систем си равн ньютон квадратн метр использ измерен внутрен давлен напряжен модул юнг прочност растяжен
pascal unit;si unit pressur defin newton squar meter pa nm² measur forc unit area system;паскал единиц измерен;единиц измерен давлен систем си определя ньютон квадратн метр па нм² измеря сил действ единиц площад
pascal triangl;triangular array number number sum directli edg fill 1s combinator algebra;треугольник паскал;треугольн масс чисел числ равн сумм двух расположен кра заполн единиц использ комбинаторик алгебр
paschen seri;seri spectral line infrar region hydrogen atom emiss spectrum result electron transit n3 energi level;сер паш;сер спектральн лин инфракрасн област спектр излучен атом водород возника переход электрон уровен энерг n3
paschenback effect;magnet effect atom spectra zeeman split compar fine structur caus transit zeeman paschenback regim;эффект пашенабак;магнитн эффект атомн спектр расщеплен зеема станов сравним тонк структур привод переход режим зеема режим пашенабак
passag;process substanc move medium barrier diffus membran studi;прохожден;процесс перемещен веществ сред барьер используем исследован диффуз мембра
path function;thermodynam quantiti valu depend path taken reach specif state initi final state work heat transfer system;функц пут;термодинамическ величин значен завис пут переход состоян начальн конечн состоян работ теплообм систем
patterson map;vector map deriv xray diffract data determin interatom vector crystal structur phase inform;карт паттерсон;векторн карт получен рентгеновск дифракц используем определен межатомн вектор кристаллическ структур информац фаз
paul dirac;british theoret physicist fundament contribut quantum mechan quantum electrodynam includ dirac equat describ behavior fermion predict exist antimatt;пол дирак;британск физиктеоретик внесш фундаментальн вклад квантов механик квантов электродинамик уравнен дирак описыва поведен фермион предсказа существован антиматер
paul emmett;american physic chemist known contribut develop brunaueremmetttel bet theori describ physic adsorpt ga molecul solid surfac wide measur surfac area materi;пол эмметт;американск физикохимик известн вклад разработк теор бэт брунауэраэмметателлер описыва физическ адсорбц молекул газ тверд поверхн широк применя измерен площад поверхн материал
pauli;principl quantum mechan state ident fermion occupi quantum state simultan formul wolfgang pauli;паул;принцип квантов механик утвержда две одинаков фермион одновремен квантов состоян сформулирова вольфганг паул
pauli exclus;quantum mechan principl state ident fermion occupi quantum state simultan;принцип паул;квантовомеханическ принцип утвержда два одинаков фермион одновремен квантов состоян
pauli exclus principl;quantum mechan principl state ident fermion occupi quantum state simultan explain electron configur atom stabil matter;принцип запрет паул;квантовомеханическ принцип утвержда две одинаков фермион одновремен квантов состоян объясня электрон конфигурац атом устойчив веществ
pauli w;wolfgang pauli theoret physicist known pauli exclus principl contribut quantum mechan;паул;вольфганг паул теоретическ физик известн принцип запрет паул вклад квантов механик
paul definit;linu paul definit electroneg power atom molecul attract electron;определен полинг;определен электроотрицательн лайнус полинг способн атом молекул притягива электрон
paul electroneg;dimensionless scale quantifi atom abil attract share electron chemic bond develop linu paul base thermochem data bond energi;электроотрицательн полинг;безразмерн шкал количествен оценива способн атом притягива общ электрон химическ связ разработа лайнус полинг основ термохимическ энерг связ
paul l;unit electroneg differ propos linu paul quantifi tendenc atom attract electron chemic bond;поллинг;единиц разниц электроотрицательн предложен лайнус полинг количествен характеризующ способн атом притягива электрон химическ связ
